post_id,platform,content_type,content_theme,date_posted,organic_impressions,paid_impressions,organic_engagements,paid_engagements,clicks,reach,followers_gain,conversions,sentiment_score,country
post_198,LinkedIn,Text,Engagement,21/07/2024,91146,26794,2635,4795,1760,75012,141,203,-0.99,Australia
post_231,Twitter,Live,Product Launch,27/07/2024,38707,-45468,5099,186,1525,27712,384,247,-0.7,
post_13,Twitter,Story,User-Generated,31/07/2024,27772,20590,6584,2457,1912,10508,-318,51,0.05,
post_91,Instagram,Text,Event,01/08/2024,5888,11473,2980,297,823,25420,492,148,0.48,United States
post_11,TikTok,Story,Product Launch,01/08/2024,29016,3842,135,2172,1617,56444,374,284,-0.67,
post_178,Instagram,Carousel,,03/08/2024,99328,18783,2499,2417,1118,60322,444,287,0.34,Australia
post_76,Instagram,Carousel,Product Launch,07/08/2024,15869,12192,6440,964,543,29124,146,251,0.3,Australia
post_77,Facebook,Video,Product Launch,12/08/2024,42889,46500,8982,2457,1467,92779,406,114,-0.82,Canada
post_164,LinkedIn,Carousel,Promotion,15/08/2024,70603,44351,-4176,2820,220,78158,33,152,0.78,Germany
post_292,Twitter,Story,User-Generated,16/08/2024,78421,5796,-4578,4553,1173,18947,426,283,0.05,
post_3,Twitter,Live,Promotion,19/08/2024,50823,41660,2764,1716,1447,85939,325,125,0.71,
post_34,Twitter,Story,Information,21/08/2024,30581,24928,7353,4821,635,8894,378,106,0.21,
post_204,Instagram,Story,User-Generated,23/08/2024,10965,11697,5892,4699,1949,25925,102,123,0.35,Germany
post_204,Instagram,Story,User-Generated,23/08/2024,10965,11697,5892,4699,1949,25925,102,123,0.35,Germany
post_52,Twitter,Story,Information,23/08/2024,63422,23726,1886,1814,98,87363,234,15,0.05,
post_142,LinkedIn,Story,Behind-the-Scenes,25/08/2024,33656,35629,6366,2941,1610,75141,198,13,0.29,France
post_28,Instagram,Image,User-Generated,29/08/2024,26995,45260,4078,2470,1239,75177,177,189,-0.25,Canada
post_85,Pinterest,Image,Promotion,01/09/2024,19321,40178,6538,2451,1048,70774,288,8,-0.7,
post_44,Facebook,Text,Product Launch,04/09/2024,24600,5175,6367,1972,1204,61443,235,4,0.06,Brazil
post_121,Instagram,Carousel,User-Generated,04/09/2024,74607,32438,8156,3636,179,29905,140,147,-0.61,United Kingdom
post_16,TikTok,Video,User-Generated,06/09/2024,6229,13767,1784,4586,842,99235,476,83,-0.75,
post_148,Instagram,Image,Event,08/09/2024,50638,24598,7955,4735,1417,60151,433,10,-0.67,France
post_200,TikTok,Live,Event,08/09/2024,20048,39337,1149,3037,87,53513,266,29,,
post_124,Pinterest,Live,Product Launch,11/09/2024,18392,46621,4155,3217,1192,83288,231,47,0.73,
post_29,Pinterest,Live,Information,12/09/2024,61258,28540,8648,2212,1893,64372,422,137,0.92,
post_74,Pinterest,Text,Product Launch,13/09/2024,43101,21490,5121,3490,919,6551,466,222,0.64,
post_241,TikTok,Live,Promotion,16/09/2024,68065,10479,6335,1399,1168,20672,74,26,0.41,
post_141,Facebook,Text,Promotion,18/09/2024,66028,44775,5899,1533,923,5541,315,151,-0.13,Brazil
post_183,Pinterest,Live,Information,25/09/2024,6747,42698,8519,786,1968,70888,-33,109,0.61,
post_248,LinkedIn,Carousel,Event,25/09/2024,28297,21739,5893,1223,73,50183,431,199,-0.37,United Kingdom
post_278,Facebook,Image,Event,27/09/2024,31841,38843,6965,2668,235,13853,211,192,-0.03,Australia
post_151,LinkedIn,Live,Information,28/09/2024,6848,30478,4500,1238,1376,88574,277,116,-0.24,Japan
post_106,TikTok,Carousel,Promotion,29/09/2024,71220,1123,7154,1468,207,32584,269,181,,
